"REF_DATE","GEO","DGUID","Census year (2)","Age (in single years), average age and median age (128)","Gender (3a)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Montréal (CMA), Que.","2021S0503462","2021","36","Men+","","0","units","0","","333.1.48.2","28380","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","36","Women+","","0","units","0","","333.1.48.3","30350","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","37","Total - Gender","","0","units","0","","333.1.49.1","59740","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","37","Men+","","0","units","0","","333.1.49.2","29265","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","37","Women+","","0","units","0","","333.1.49.3","30475","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","38","Total - Gender","","0","units","0","","333.1.50.1","60380","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","38","Men+","","0","units","0","","333.1.50.2","29445","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","38","Women+","","0","units","0","","333.1.50.3","30935","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","39","Total - Gender","","0","units","0","","333.1.51.1","61495","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","39","Men+","","0","units","0","","333.1.51.2","30370","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","39","Women+","","0","units","0","","333.1.51.3","31120","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","40 to 44 years","Total - Gender","","0","units","0","","333.1.52.1","306385","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","40 to 44 years","Men+","","0","units","0","","333.1.52.2","150760","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","40 to 44 years","Women+","","0","units","0","","333.1.52.3","155625","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","40","Total - Gender","","0","units","0","","333.1.53.1","63055","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","40","Men+","","0","units","0","","333.1.53.2","31055","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","40","Women+","","0","units","0","","333.1.53.3","31995","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","41","Total - Gender","","0","units","0","","333.1.54.1","62395","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","41","Men+","","0","units","0","","333.1.54.2","30535","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","41","Women+","","0","units","0","","333.1.54.3","31855","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","42","Total - Gender","","0","units","0","","333.1.55.1","60890","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","42","Men+","","0","units","0","","333.1.55.2","29810","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","42","Women+","","0","units","0","","333.1.55.3","31075","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","43","Total - Gender","","0","units","0","","333.1.56.1","60195","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","43","Men+","","0","units","0","","333.1.56.2","29700","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","43","Women+","","0","units","0","","333.1.56.3","30495","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","44","Total - Gender","","0","units","0","","333.1.57.1","59860","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","44","Men+","","0","units","0","","333.1.57.2","29665","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","44","Women+","","0","units","0","","333.1.57.3","30200","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","45 to 49 years","Total - Gender","","0","units","0","","333.1.58.1","280355","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","45 to 49 years","Men+","","0","units","0","","333.1.58.2","139350","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","45 to 49 years","Women+","","0","units","0","","333.1.58.3","141005","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","45","Total - Gender","","0","units","0","","333.1.59.1","58405","","","","0"
